,,A,B.E.,CDS-PP,CH,IL,JPP,L,MAS,MPT,NC,PAN,PCP-PEV,PCTP/MRPP,PDR,PNR,PPD/PSD,PPM,PS,PTP,PURP,R.I.R.
0307,50284,122,2216,884,177,123,21,130,37,57,51,662,994,153,24,51,8267,25,11743,42,30,392
0308,143481,452,8772,3092,428,819,81,617,69,179,152,2181,4807,575,119,173,25999,64,36468,105,89,582
0309,22044,56,726,483,75,42,3,43,4,20,25,213,250,45,6,8,4756,10,4708,7,7,84
0310,6855,43,180,153,25,13,4,14,3,8,9,64,154,19,7,4,1606,5,1280,0,5,18
0311,12989,22,336,233,51,28,1,24,0,15,22,106,178,33,1,9,2850,7,2552,7,1,53
0312,119391,265,6367,3156,415,564,49,449,45,135,128,1936,2441,290,133,121,26095,46,27302,93,99,456
0313,44417,117,1565,1203,221,140,22,123,31,59,68,528,556,110,52,42,10288,26,7651,33,38,227
0314,21268,53,1424,348,56,125,21,68,11,25,30,330,460,85,24,17,3007,11,5803,21,8,135
0401,5365,3,137,135,22,6,,7,,,5,25,41,14,3,6,1091,4,1260,1,9,18
0402,36212,155,1177,555,164,101,,82,,,30,252,357,60,42,51,6279,18,5515,26,32,69
0403,6339,14,194,142,21,16,,16,,,10,46,53,21,8,10,1249,1,1048,7,15,16
0404,3244,3,81,49,9,6,,6,,,3,12,35,9,1,7,502,2,651,3,3,16
0405,18040,30,460,463,51,33,,36,,,17,103,155,35,12,27,3104,12,2920,22,24,47
0406,7444,4,141,120,26,9,,9,,,24,38,35,9,7,6,1429,4,1265,8,15,21
0407,23474,47,684,634,116,48,,47,,,17,170,374,72,16,29,4431,11,3495,8,41,64
0408,10417,13,223,228,30,16,,23,,,8,42,41,14,4,10,2149,4,1702,7,14,39
0409,8262,14,231,169,32,10,,14,,,6,42,84,22,7,7,1460,7,1505,4,8,10
0410,6941,11,256,133,24,16,,16,,,4,41,82,30,4,7,1277,3,1269,5,7,26
0411,5806,8,93,48,13,6,,4,,,6,22,27,10,1,2,1255,1,759,3,4,5
0412,9997,7,156,155,25,4,,10,,,7,38,63,17,16,10,1683,8,1826,7,12,29
0501,6145,14,337,87,46,10,,25,,5,,72,187,30,3,6,573,7,1372,2,10,24
0502,49029,277,3075,804,485,190,,259,,82,,826,1140,183,52,97,6938,74,10683,36,81,146
0503,45057,207,3506,961,207,143,,203,,40,,611,1925,212,19,55,4500,36,11307,25,68,132
0504,26190,81,1679,498,163,105,,204,,40,,297,549,110,16,34,3365,20,5711,33,27,83
0505,8233,27,304,150,65,9,,26,,10,,71,206,39,3,9,950,11,2013,8,19,42
0506,4829,14,188,115,27,5,,5,,7,,37,49,22,3,12,1447,8,812,8,4,15
0507,4491,11,240,99,28,7,,19,,6,,32,77,27,3,3,568,3,990,7,19,15
0508,7122,19,262,213,40,28,,24,,9,,68,56,12,5,7,1542,4,1682,10,9,21
0509,13419,43,482,384,91,34,,45,,19,,146,128,41,17,15,3504,10,2446,20,15,42
0510,2750,16,104,134,24,8,,19,,3,,41,43,5,4,4,896,9,417,5,10,11
0511,2810,6,175,34,11,4,,5,,5,,30,91,13,0,4,391,1,869,3,11,10
0601,10175,69,442,155,28,32,7,38,3,11,7,137,171,36,12,10,1779,4,2445,,10,37
0602,35316,141,1443,712,137,130,15,120,19,41,26,380,488,61,44,53,6367,13,5547,,32,134
0603,127258,629,9365,2906,592,839,52,882,135,144,213,2097,5591,345,153,212,18061,96,26964,,142,312
0604,14364,50,1252,224,128,91,9,91,9,13,17,214,491,36,18,31,1733,9,3125,,8,56
0605,55542,728,3575,796,273,210,24,277,13,82,74,839,1735,167,62,80,6383,41,10852,,80,182
0606,3480,12,183,44,20,12,1,15,2,5,2,42,38,7,1,6,596,2,884,,3,16
0607,15245,71,958,231,73,69,8,65,4,14,14,271,333,41,15,37,1845,10,3632,,14,40
0608,12993,35,475,230,47,35,5,57,3,14,11,169,108,27,16,18,2253,9,2088,,11,64
0609,10934,40,606,141,43,26,1,34,4,5,8,172,275,21,8,20,1398,8,2854,,11,20
0610,21858,98,1297,323,172,75,7,103,20,28,12,254,651,74,40,51,2674,10,4810,,20,81
0611,17829,56,781,423,79,34,6,64,7,6,14,195,235,43,18,28,3080,8,4003,,19,44
0612,3624,7,117,51,14,6,1,8,4,1,1,26,64,7,1,3,671,3,856,,4,10
0613,13698,26,451,204,45,31,3,33,6,13,12,119,327,38,15,22,2261,2,3016,,10,33
0614,4831,34,213,83,26,20,0,17,3,5,4,53,71,16,5,4,844,5,993,,6,16
0615,16551,63,987,217,112,43,8,70,7,22,19,189,487,58,25,33,1706,15,4170,,17,55
0616,10221,30,414,216,21,12,1,34,7,8,5,111,228,35,13,9,1672,5,2252,,11,30
0617,6176,17,249,147,26,11,1,18,5,5,2,87,109,19,7,6,956,5,1099,,4,24
0701,4616,5,174,52,32,9,,8,,5,80,21,521,36,3,4,254,4,1211,4,10,7
0702,5912,21,290,80,47,15,,19,,5,12,64,1156,65,1,13,458,6,1201,4,7,15
0703,5971,11,386,80,64,14,,20,,4,9,39,417,40,5,10,532,4,1532,3,3,12
0704,11542,33,532,229,198,32,,29,,17,23,110,611,54,5,24,1342,10,2424,9,7,34
0705,47159,231,2766,1027,629,245,,227,,62,66,655,3985,227,16,55,5240,38,9258,27,63,108
0706,14093,33,585,349,99,58,,68,,14,20,120,2303,121,8,11,1214,7,2963,4,14,34
0707,4085,13,129,68,23,12,,13,,1,3,30,791,53,6,5,316,1,721,0,3,10
0708,2167,5,54,36,45,1,,4,,1,4,12,115,15,1,1,280,3,469,0,0,5
0709,5164,9,176,36,63,9,,8,,5,9,39,875,52,3,9,180,5,1293,3,3,5
0710,5648,9,258,99,46,13,,9,,2,3,47,498,35,5,8,464,7,1142,4,8,14
0711,8919,20,373,128,133,17,,30,,7,17,99,439,45,2,7,730,7,1883,4,18,20
0712,9983,32,386,156,113,39,,31,,15,16,121,1044,83,7,18,942,11,2043,8,6,44
0713,4639,16,196,90,78,12,,11,,2,3,40,634,49,5,7,304,3,893,4,5,6
0714,6798,21,319,105,75,14,,26,,3,46,49,591,47,3,7,681,8,1338,8,7,20
0801,34611,120,1570,627,392,146,,147,,51,54,774,800,121,38,65,3574,32,4732,26,51,94
0802,2391,3,76,44,13,1,,9,,3,3,16,72,4,2,1,376,2,646,2,2,5
0803,4076,13,229,66,49,20,,16,,10,9,112,198,30,2,17,316,5,862,5,3,29
0804,5747,11,285,105,48,7,,19,,4,11,80,170,13,2,8,636,10,1162,6,5,14
0805,56582,231,3732,1021,544,291,,267,,112,92,1444,2049,200,47,112,6815,43,10157,38,73,141
0806,18539,67,1097,323,249,55,,114,,28,51,455,576,91,20,57,1803,14,3337,26,25,52
0807,23659,97,1441,343,170,92,,140,,47,67,530,789,113,16,33,1977,17,4125,25,42,66
0808,59307,193,2418,1024,507,236,,241,,94,95,1199,1042,165,56,86,6881,78,9476,57,64,159
0809,4561,20,294,92,25,19,,16,,19,12,80,207,39,8,4,694,9,1085,6,8,18
0810,37244,125,2246,648,356,88,,131,,82,66,861,1165,190,42,78,3046,48,5969,39,57,112
0811,48848,205,3267,937,510,206,,262,,100,137,1205,1431,185,49,100,4727,54,7711,48,70,131
0812,9205,25,512,159,100,40,,45,,17,10,150,247,27,6,13,1128,9,1755,11,6,41
0813,29921,83,1661,497,344,95,,128,,58,46,616,1881,177,27,89,2731,32,4864,31,48,88
0814,21469,75,1307,407,170,85,,96,,73,44,401,572,79,29,33,2346,32,4128,16,30,55
0815,3908,8,219,61,81,18,,16,,4,7,81,126,18,3,6,328,1,732,3,4,10
0816,16733,34,901,218,132,25,,57,,38,29,234,855,61,12,27,1138,22,2728,17,11,20
0901,6026,9,99,229,34,20,,11,,2,5,42,38,12,4,5,1241,0,977,11,3,20
0902,6960,14,214,175,41,15,,16,,2,6,30,111,16,2,17,1173,2,1206,11,14,16
0903,7669,19,231,177,43,24,,9,,9,7,42,78,12,3,9,1371,3,1339,10,10,29
0904,5530,9,151,115,21,9,,6,,4,1,25,55,7,4,4,1035,2,1109,6,5,14
0905,4639,17,136,137,41,15,,8,,5,4,28,50,18,3,3,943,5,1062,5,3,26
0906,12973,35,497,240,82,22,,29,,8,8,121,205,29,9,8,2149,6,2524,8,14,38
0907,38133,149,2314,1022,327,173,,151,,32,35,484,629,106,38,55,6898,23,7762,42,47,124
0908,3273,5,174,54,16,11,,3,,1,3,28,74,15,0,8,411,3,725,3,2,11
0909,5314,10,144,281,24,16,,9,,1,3,32,50,9,3,6,925,1,800,7,1,18
0910,9335,20,261,203,47,22,,28,,9,15,55,112,20,6,5,1732,5,1332,10,3,31
