,,A,B.E.,CDS-PP,CH,IL,JPP,L,MAS,MPT,NC,PAN,PCP-PEV,PCTP/MRPP,PDR,PNR,PPD/PSD,PPM,PS,PTP,PURP,R.I.R.
030401,543,4,19,5,1,0,0,3,0,0,0,0,4,1,0,0,99,0,234,0,0,2
030404,892,4,17,9,3,1,0,1,0,1,1,6,6,0,1,0,196,0,199,0,0,2
030405,560,1,3,13,11,2,0,1,0,0,0,3,4,0,0,0,132,1,159,0,0,6
030406,712,1,11,13,5,1,0,1,0,0,3,0,10,0,1,1,121,1,218,0,0,1
030407,1658,2,41,16,1,4,0,2,0,1,5,5,10,5,0,0,234,0,285,2,0,3
030408,563,2,5,10,0,0,0,1,0,0,0,4,1,5,0,0,99,0,161,0,0,4
030413,785,1,14,8,4,1,1,1,0,0,0,5,5,4,0,0,149,1,159,1,0,3
030415,1060,7,22,18,1,2,0,1,0,2,0,3,5,0,0,0,193,0,230,0,0,0
030418,1121,3,21,17,8,1,0,2,1,0,2,3,15,1,1,2,208,0,302,1,0,6
030419,2023,3,75,17,7,4,0,6,0,1,1,11,16,0,0,1,299,0,555,0,0,7
030420,586,0,3,5,0,1,0,0,0,0,0,0,1,0,0,0,88,0,107,0,0,1
030421,6533,31,210,99,28,14,1,9,4,5,7,50,85,13,1,2,1160,4,1630,5,5,17
030501,1100,2,33,28,11,0,0,2,0,2,1,15,11,2,0,3,287,0,177,1,0,13
030502,1470,5,61,28,7,2,1,4,2,2,0,28,16,3,4,0,275,4,331,1,1,11
030503,1174,0,28,43,7,2,1,1,0,3,1,25,3,1,4,3,334,1,119,0,0,6
030508,380,0,14,10,0,0,0,0,1,0,0,3,3,1,0,0,96,0,88,0,0,3
030510,1150,4,29,36,2,3,2,4,0,1,0,8,11,3,0,0,352,1,150,0,1,5
030515,567,0,14,26,2,1,0,1,0,2,0,4,4,1,0,1,138,0,111,1,0,5
030517,1177,7,31,66,1,11,0,1,0,4,3,15,5,1,3,1,248,0,155,0,1,12
030518,883,0,17,20,10,3,0,2,2,1,2,4,12,0,0,0,236,0,146,1,0,9
030520,1415,1,34,59,0,0,0,2,0,1,2,10,15,7,4,1,258,0,274,1,1,8
030521,751,0,15,8,0,0,0,0,0,1,2,11,5,2,0,0,161,1,133,1,0,4
030523,3318,3,154,80,21,8,1,14,1,1,3,96,48,6,6,3,564,1,772,1,1,21
030524,674,0,13,16,1,0,0,2,0,0,0,10,3,0,0,0,116,0,121,0,0,3
030525,1202,1,36,15,1,4,0,4,0,1,2,48,6,3,1,2,221,2,289,1,0,8
030526,912,1,26,27,0,1,0,2,0,2,2,9,9,1,0,0,218,0,92,0,0,7
030527,1779,4,71,43,5,2,0,4,0,2,2,35,33,6,2,2,341,5,396,0,0,4
030601,2080,15,79,59,8,14,0,19,2,7,1,31,27,4,0,3,486,2,347,2,2,7
030608,2424,12,106,47,10,10,3,15,0,4,4,47,50,12,1,0,547,1,478,1,2,7
030610,1064,2,36,43,4,9,0,5,0,3,1,13,11,0,2,2,264,1,168,1,0,4
030615,1358,5,34,32,3,10,2,3,0,6,2,17,11,3,3,0,317,0,140,2,3,16
030616,7221,17,271,324,30,34,7,31,0,11,15,110,103,25,2,11,1641,1,1054,3,1,31
030617,3066,12,155,105,13,21,4,8,3,14,3,34,66,11,3,4,660,1,346,7,0,15
030618,11131,48,518,456,44,87,6,57,9,17,15,194,253,28,11,6,2347,5,1855,6,18,50
030619,1666,3,62,122,6,6,1,3,0,4,1,10,8,3,2,1,553,1,251,2,1,17
030620,2870,10,168,111,11,14,1,9,1,3,6,48,52,4,3,2,658,0,483,2,0,13
030705,679,1,48,11,2,2,1,2,0,1,0,10,25,2,0,1,117,1,201,2,1,7
030708,1927,5,100,24,7,5,0,9,1,4,3,29,39,8,0,1,237,3,439,4,0,11
030709,15249,46,808,274,56,59,8,59,6,15,16,259,381,42,6,15,2638,8,3449,11,11,67
030712,1437,7,72,23,5,2,0,4,0,3,1,25,33,4,2,2,169,0,365,1,0,11
030714,2093,3,77,37,5,5,0,2,0,1,3,30,32,5,1,0,432,0,446,1,1,6
030716,1381,6,49,28,5,6,1,4,0,2,3,22,19,5,2,1,236,2,339,2,0,3
030719,1008,2,48,16,4,3,0,2,1,4,3,8,11,2,0,1,158,0,217,1,0,11
030722,2129,2,101,34,17,6,0,4,0,1,2,20,39,9,1,2,382,0,557,2,0,6
030723,1572,3,65,26,2,2,2,4,0,0,0,14,25,2,2,3,336,1,396,0,0,4
030724,750,2,32,10,4,0,0,2,0,0,1,6,10,3,0,0,105,0,182,0,0,3
030725,583,1,25,12,4,2,0,1,1,1,0,11,7,1,0,0,99,0,151,2,1,12
030726,1378,4,58,20,6,0,0,1,1,2,3,15,23,1,0,1,164,2,371,1,0,9
030728,1725,6,74,36,6,2,1,1,1,1,3,22,14,2,0,0,283,1,446,0,2,6
030729,1231,2,51,27,3,3,0,2,0,1,2,15,18,2,0,0,241,1,362,0,3,11
030730,3309,9,130,49,5,7,2,6,1,5,4,47,50,13,0,5,625,0,665,1,3,17
030733,1665,3,40,26,4,1,0,4,0,2,1,11,39,4,1,5,250,3,284,1,1,10
030736,681,0,25,13,2,2,0,0,1,0,1,7,25,5,0,0,103,0,149,0,0,5
030737,1131,0,27,18,7,1,1,4,0,4,0,5,20,3,0,3,174,0,211,1,2,3
030738,1219,1,21,18,3,5,1,2,19,0,0,4,5,1,0,0,109,1,314,0,0,138
030739,1962,2,99,40,5,1,1,7,0,1,1,34,80,18,6,2,281,0,605,1,1,11
030740,1125,1,50,28,2,1,0,1,1,0,1,14,14,3,0,2,207,1,243,0,1,4
030741,2030,8,77,40,10,5,2,6,1,5,1,25,33,9,2,5,322,0,514,6,2,11
030742,825,1,31,18,7,0,1,0,1,2,1,2,17,2,0,0,109,0,211,2,0,8
030743,1178,3,16,18,0,1,0,2,0,1,0,6,4,4,1,1,183,1,150,1,1,5
030744,2017,4,92,38,6,2,0,1,2,1,1,21,31,3,0,1,307,0,476,2,0,13
030801,1218,4,77,26,9,8,0,7,0,2,1,10,23,8,2,2,241,0,282,0,1,12
030804,7698,28,568,180,32,80,3,58,8,6,12,125,286,29,9,7,1425,8,1708,4,2,19
030806,1383,2,55,31,3,10,0,3,0,4,0,18,23,3,1,0,282,0,299,3,0,1
030807,4324,17,283,73,13,20,2,12,0,4,4,66,189,25,3,6,765,2,1143,8,2,15
030808,5939,20,361,114,18,34,3,22,2,4,8,101,175,19,7,5,1090,2,1361,5,6,17
030812,4259,23,277,104,12,73,2,39,0,4,6,75,117,6,5,4,1206,0,778,1,1,18
030813,8817,38,558,205,28,58,5,40,0,11,7,156,379,35,4,11,1937,5,1872,5,4,20
030815,5032,20,355,95,25,32,4,19,1,6,5,97,152,19,0,10,770,0,1227,1,3,21
030820,873,1,39,20,3,1,3,3,1,1,1,11,15,2,1,0,172,0,271,0,0,4
030821,2367,2,182,16,6,4,0,22,11,0,1,31,169,6,0,2,308,2,670,0,2,10
030823,2061,4,137,31,6,3,0,5,0,3,1,37,74,14,3,1,365,1,664,1,0,11
030824,1529,7,98,32,5,3,2,2,0,4,1,13,32,7,1,1,236,1,454,2,1,20
030827,1393,2,39,40,0,2,0,4,0,1,2,10,35,2,2,3,228,0,297,1,0,3
030828,3757,7,223,78,13,13,2,13,0,2,4,39,105,7,6,7,621,1,1064,1,1,25
030830,4037,25,305,80,14,42,1,20,1,6,1,65,100,16,3,6,811,2,960,2,4,27
030831,4301,10,286,58,8,15,2,9,0,3,5,60,239,18,2,4,507,2,1400,1,0,11
030832,2393,5,131,32,10,13,3,7,2,2,1,49,62,14,1,3,341,0,744,2,2,3
030835,1115,4,63,24,4,6,1,3,0,0,0,19,37,5,2,3,166,0,336,0,1,2
030836,1045,5,73,25,3,5,1,3,0,1,0,10,24,3,0,1,159,0,307,1,0,4
030837,3135,7,199,55,4,22,5,14,4,9,4,45,84,19,2,3,420,3,1043,2,4,13
030838,5871,17,369,64,20,29,6,23,1,10,5,118,198,24,2,9,815,3,1601,2,2,16
030840,4054,6,281,63,7,12,2,22,0,4,3,52,100,13,2,5,820,1,1163,8,5,17
030842,1120,1,62,15,2,7,1,0,1,0,0,11,26,4,0,0,234,1,295,0,0,4
030850,2001,1,153,25,2,10,0,6,2,3,4,32,114,10,0,4,268,1,582,1,2,13
030854,5261,15,397,78,18,28,1,22,2,9,3,84,323,32,8,11,887,0,1355,2,6,22
030857,1197,3,78,13,3,3,0,6,0,0,1,25,73,5,1,2,199,0,372,1,0,3
030858,2411,4,86,45,2,4,3,9,0,4,3,27,48,9,4,1,464,0,519,1,2,6
030865,3169,9,156,65,4,6,1,11,2,5,4,44,74,14,2,2,596,1,858,4,4,18
030866,3220,6,209,43,9,10,1,7,2,4,3,37,196,16,4,6,410,1,985,2,2,18
030868,2096,7,121,57,2,9,2,7,0,2,3,33,57,7,2,1,388,0,592,3,1,12
030871,4942,18,330,117,18,48,2,16,3,3,9,69,93,20,2,8,1020,2,1210,1,3,19
030875,2337,7,97,77,9,18,1,8,1,7,6,33,46,12,2,5,467,2,575,2,2,14
030876,3168,5,188,144,12,7,3,10,2,2,5,42,69,10,3,1,781,1,878,3,2,12
030877,740,2,33,16,3,0,1,5,0,2,0,6,12,6,0,1,112,0,170,0,0,2
030878,2324,3,116,44,4,8,2,9,0,5,1,16,41,13,5,4,328,1,596,5,1,16
030879,2062,10,70,51,2,4,0,10,0,3,0,36,36,8,5,4,376,2,459,5,0,9
030880,1692,3,65,32,3,2,3,8,1,3,2,15,55,6,1,1,300,2,336,6,0,7
030881,3189,15,249,73,12,40,1,17,6,5,1,69,127,10,2,4,592,2,793,1,4,17
030882,2176,4,158,30,12,3,3,5,3,4,5,36,172,13,1,3,260,2,700,1,2,15
030883,1320,4,56,74,6,3,0,0,1,2,2,23,28,1,1,1,320,1,318,1,0,10
030884,7312,26,436,243,20,63,2,54,7,6,10,126,289,30,0,12,1620,6,1403,1,6,10
030885,1718,6,83,53,8,11,1,10,0,2,2,23,32,5,3,2,361,1,404,0,0,9
030886,1696,9,50,37,4,3,1,3,0,3,8,13,20,1,1,0,278,1,350,1,3,6
030887,3210,12,188,102,7,11,1,10,1,3,1,40,82,14,2,4,608,0,785,2,2,7
030888,2038,8,123,34,6,10,1,13,0,3,1,34,52,17,2,0,340,0,578,2,1,11
030889,2075,9,103,85,9,16,2,7,1,2,2,28,35,5,2,0,296,0,564,4,2,12
030890,2141,4,92,40,1,4,0,7,1,4,0,21,32,5,2,2,350,3,486,4,1,10
030891,2265,7,114,53,7,6,1,7,2,6,4,51,57,8,6,1,459,1,661,2,2,11
030906,397,2,23,14,2,1,0,4,0,0,0,2,10,1,0,0,87,0,104,1,1,1
030908,359,3,7,2,7,0,0,0,0,0,0,2,1,0,1,0,74,0,109,0,0,2
030912,591,0,22,11,1,0,0,1,0,1,1,6,8,2,0,2,126,1,109,0,1,0
030913,1164,3,40,22,3,4,1,2,0,1,1,10,11,2,0,0,235,1,218,0,0,5
030914,507,1,16,13,5,1,0,0,0,0,1,11,0,6,0,0,113,0,157,0,0,3
030915,729,1,24,14,4,1,0,0,0,2,1,15,7,1,0,0,193,0,107,0,0,6
030917,734,0,16,17,5,1,0,3,0,0,2,3,6,1,1,0,171,0,168,0,0,2
030919,5177,10,189,102,18,12,1,11,2,7,8,65,84,3,3,3,1123,2,1032,3,2,11
030921,670,3,17,16,2,1,1,0,0,0,0,5,8,7,0,0,159,2,123,0,0,1
030922,907,2,40,17,1,1,0,2,0,2,0,12,11,3,0,0,194,0,154,0,0,6
030923,392,0,22,11,0,0,0,0,0,0,0,4,3,1,0,0,61,0,111,0,0,3
030924,735,7,31,19,1,3,0,0,2,1,0,3,11,1,0,0,149,0,130,0,1,6
030925,787,0,15,14,3,0,0,1,0,1,1,5,9,1,1,0,191,0,141,0,0,2
030926,1749,7,60,24,4,6,0,2,0,0,0,14,12,1,0,1,303,1,379,0,0,7
030927,676,5,21,30,1,1,0,1,0,0,2,6,8,0,0,1,156,0,139,0,0,2
030929,604,0,17,8,2,1,0,0,0,0,1,3,10,1,0,0,183,2,103,0,0,3
030930,590,0,25,11,4,0,0,1,0,1,0,4,10,0,0,0,114,0,178,0,0,2
030931,738,2,28,18,0,0,0,5,0,1,2,5,5,3,0,1,155,0,177,0,0,6
030932,1463,6,36,45,4,5,0,2,0,1,0,11,18,1,0,0,291,0,431,1,0,5
030933,684,0,9,15,0,2,0,2,0,1,3,3,4,1,0,0,133,0,146,1,1,1
030934,1668,2,47,52,4,2,0,6,0,1,1,21,9,5,0,0,378,0,345,0,0,8
030935,723,2,21,8,4,0,0,0,0,0,1,3,5,4,0,0,167,1,147,1,1,2
031001,330,8,19,7,2,0,1,0,0,2,0,10,10,0,0,0,77,1,68,0,1,1
031003,174,0,4,0,2,1,0,2,0,1,0,2,3,1,0,1,44,0,32,0,0,0
031004,337,5,6,17,1,1,0,1,0,0,1,5,6,0,0,0,90,0,64,0,0,2
031008,334,0,9,11,3,0,0,0,0,0,0,5,7,1,0,0,79,0,62,0,1,0
031009,298,1,5,5,2,0,0,1,0,0,0,0,1,0,0,0,68,0,72,0,0,0
031010,724,7,25,10,4,0,0,2,0,2,1,6,9,3,0,0,165,0,160,0,0,0
031012,226,8,10,3,0,2,1,0,0,1,0,2,6,0,1,0,67,0,23,0,0,3
031013,847,2,15,17,1,2,1,1,1,0,1,7,9,2,0,1,217,0,132,0,0,1
031014,493,1,18,28,2,2,1,4,1,0,0,8,12,0,1,0,117,2,89,0,0,3
031015,582,3,15,12,0,0,0,3,0,0,1,1,32,3,0,0,111,0,133,0,2,1
031017,1164,1,26,17,5,3,0,0,1,0,0,11,33,4,3,0,209,1,256,0,1,5
031018,417,2,13,3,1,0,0,0,0,0,0,2,13,2,1,2,107,0,73,0,0,0
031019,575,4,9,13,2,1,0,0,0,2,2,5,11,1,1,0,162,1,71,0,0,1
031020,354,1,6,10,0,1,0,0,0,0,3,0,2,2,0,0,93,0,45,0,0,1
031105,724,0,29,11,1,2,0,2,0,1,0,3,19,3,0,1,132,0,142,1,0,0
031107,675,0,17,12,5,2,0,1,0,2,2,10,18,2,0,1,129,2,159,1,0,6
031108,1018,2,18,27,2,2,1,1,0,0,4,7,8,1,1,0,208,0,197,1,0,5
031109,463,1,7,3,1,2,0,0,0,0,1,3,2,1,0,4,101,0,66,0,0,1
031110,704,1,31,15,2,3,0,1,0,1,1,9,7,3,0,0,164,0,129,0,1,2
031111,479,0,13,6,2,1,0,0,0,0,0,1,0,0,0,1,128,1,104,1,0,4
031112,432,1,10,13,1,1,0,0,0,1,0,6,5,1,0,0,98,0,86,0,0,4
031113,1744,1,26,25,13,2,0,2,0,1,1,9,15,1,0,0,370,0,346,1,0,3
031115,383,0,21,6,2,1,0,0,0,0,1,1,8,1,0,1,52,0,90,0,0,2
031118,891,2,23,15,5,1,0,2,0,0,2,10,10,3,0,0,207,0,166,1,0,3
031120,2354,5,75,24,9,7,0,6,0,4,4,25,50,5,0,1,501,2,458,1,0,11
031122,398,0,10,13,0,0,0,1,0,0,0,3,8,1,0,0,102,0,75,0,0,1
031123,627,3,22,11,1,0,0,1,0,2,2,3,3,5,0,0,173,0,116,0,0,2
031124,558,1,14,18,4,0,0,0,0,2,1,2,9,4,0,0,141,0,97,0,0,2
031125,868,0,10,16,1,2,0,6,0,0,3,5,11,0,0,0,201,0,233,0,0,4
031126,671,5,10,18,2,2,0,1,0,1,0,9,5,2,0,0,143,2,88,0,0,3
031204,3193,0,157,66,11,16,1,5,2,5,2,35,64,14,1,6,663,0,692,2,1,11
031206,2049,6,90,68,7,7,0,9,0,2,3,30,50,2,2,2,491,1,463,0,1,3
031210,1776,3,99,29,4,5,0,10,1,3,2,34,29,4,3,1,348,1,476,1,1,10
031212,1482,5,74,53,5,10,0,4,1,2,2,19,29,6,2,2,421,0,346,0,0,7
031213,3613,3,229,68,7,14,1,16,1,2,2,51,93,16,1,0,478,1,1053,2,2,18
031215,3398,7,128,65,12,16,2,13,0,1,4,40,28,3,4,2,773,1,683,0,4,17
031216,3318,10,179,92,17,21,0,16,2,0,7,37,49,10,3,9,748,1,810,4,9,13
031219,6996,10,462,226,23,22,2,22,2,17,14,133,140,15,7,10,1435,3,1708,13,2,35
031221,2589,7,120,62,5,7,0,10,1,4,2,39,36,2,3,2,486,2,610,2,0,12
031223,1959,5,72,79,11,11,1,6,0,3,0,27,38,7,3,1,470,2,555,4,5,6
031224,3474,9,222,67,14,23,1,13,1,3,5,61,88,11,5,3,633,2,880,3,8,13
031225,1754,1,95,28,4,6,1,1,0,1,5,37,29,3,2,3,354,1,475,1,3,9
031227,2606,2,105,56,13,12,1,12,3,1,4,45,50,1,2,5,580,1,650,3,5,11
031230,1941,8,97,32,3,3,0,1,0,2,2,33,90,4,0,1,311,0,518,0,1,7
031232,2084,5,117,33,11,7,1,5,1,5,2,48,55,5,3,1,388,0,546,1,0,8
031233,2844,14,147,86,6,8,1,12,0,1,3,48,52,8,7,5,727,0,622,3,0,11
031234,3190,9,185,41,2,11,0,20,1,2,2,47,174,7,2,3,611,1,773,3,2,9
031235,7780,13,358,164,19,39,4,14,3,8,8,114,111,20,6,5,2042,2,1603,2,11,34
031239,3161,2,244,43,11,12,4,7,3,5,5,48,85,8,5,6,567,0,747,1,2,8
031241,1835,1,126,66,8,7,2,11,1,0,1,22,27,3,1,0,421,0,407,3,1,4
031242,2292,2,137,45,3,6,1,8,1,3,2,31,90,5,1,0,358,0,619,0,2,6
031247,2731,9,152,65,8,15,1,8,1,2,5,45,51,1,1,4,571,2,656,1,2,11
031249,1159,0,51,42,4,7,0,6,0,2,0,8,12,2,2,0,319,0,263,0,0,9
031250,6431,17,335,191,23,40,4,25,2,4,5,110,113,14,7,8,1695,7,1276,8,3,22
031251,3236,4,156,77,11,6,4,10,0,5,3,56,62,11,1,2,712,0,754,3,0,20
031252,2281,2,127,70,6,13,1,11,1,7,1,46,34,5,8,4,509,3,613,1,5,3
031253,2349,1,100,35,5,9,0,12,2,2,1,40,50,6,5,1,449,0,595,0,0,2
031254,3181,14,163,121,16,15,2,9,0,1,3,46,44,6,4,4,786,1,646,1,1,17
031255,4522,9,170,158,13,9,2,8,2,5,7,61,47,7,6,6,1132,2,812,6,1,21
031256,2808,6,136,86,18,10,2,13,3,4,0,52,43,9,1,4,726,4,656,2,1,8
031257,2749,6,131,55,7,11,1,9,0,5,3,57,61,8,0,1,427,0,827,3,5,9
031258,1432,5,72,37,11,9,0,6,2,0,1,16,17,2,3,2,388,0,287,2,1,3
031259,4793,9,256,224,9,26,4,12,2,13,7,70,84,18,10,2,1110,3,975,8,2,18
031260,18385,61,1075,526,88,131,5,105,6,15,15,350,416,47,22,16,3966,5,3706,10,18,61
031304,471,3,14,15,0,0,0,0,2,1,0,3,2,0,0,0,152,1,71,0,0,2
031308,1795,2,64,29,16,2,1,3,2,2,4,10,23,5,4,1,266,0,438,4,1,7
031309,1894,1,46,57,8,9,0,4,0,1,1,10,15,7,2,2,495,2,273,1,2,3
031311,480,3,22,16,3,3,0,2,0,0,0,7,5,1,2,1,142,1,62,0,1,3
031313,409,0,3,10,0,1,0,0,0,0,1,7,7,0,0,0,153,0,74,0,0,1
031316,1019,5,23,29,1,1,0,1,1,1,1,4,5,1,0,2,267,1,129,0,1,4
031317,469,3,22,15,0,5,0,2,1,0,0,6,7,0,1,1,114,0,78,0,0,3
031323,2641,10,115,71,22,15,1,10,2,3,2,37,40,4,8,3,594,3,429,4,2,19
031324,551,0,19,12,4,3,0,0,2,0,0,3,5,0,0,0,140,0,148,1,0,2
031325,1020,2,52,20,4,5,0,2,0,0,2,22,15,4,2,1,188,0,220,0,0,5
031328,1425,3,29,28,3,0,3,2,1,1,4,14,14,2,0,0,383,1,195,1,0,10
031330,1227,3,52,26,2,3,1,5,2,2,2,17,23,5,1,0,238,1,212,1,2,10
031331,746,0,14,9,3,0,0,0,0,0,2,5,6,3,0,1,135,0,153,0,2,2
031335,533,4,17,9,2,1,0,2,1,1,1,6,2,0,0,0,136,0,96,1,0,0
031337,475,1,17,6,2,0,1,5,0,0,0,6,6,2,0,1,118,0,72,1,1,3
031340,424,0,13,7,5,0,0,3,1,0,0,8,7,2,0,0,134,0,65,2,0,4
031342,4058,12,215,83,28,15,1,7,2,5,8,65,91,10,3,6,789,4,753,2,11,18
031350,665,0,10,19,1,0,0,0,0,2,0,4,3,1,0,5,140,1,109,0,0,4
031352,1892,1,102,45,8,8,0,4,3,3,2,28,32,6,3,3,368,1,455,2,3,9
031354,1653,11,72,36,11,5,0,7,1,1,3,27,26,6,4,1,342,1,308,0,0,9
031355,537,2,7,19,1,0,0,0,1,1,0,3,7,0,1,0,121,0,106,0,0,1
031359,999,2,21,31,4,2,0,4,1,0,5,7,5,0,0,0,234,1,144,0,0,3
031360,3611,8,84,178,13,11,2,6,2,7,4,29,28,8,5,4,950,3,337,2,0,39
031361,879,0,16,25,2,2,0,3,1,0,0,6,8,4,0,2,221,0,151,1,0,2
031362,778,2,21,27,3,0,1,2,1,0,0,3,4,0,0,0,216,0,119,0,0,4
031363,871,4,30,18,3,2,3,2,2,2,4,15,9,4,0,1,224,0,180,1,0,3
031364,856,1,21,21,8,1,1,0,0,3,0,10,4,0,0,0,278,0,91,2,0,8
031365,540,1,6,23,2,0,1,2,0,1,2,6,4,1,0,0,180,0,90,0,0,1
031366,1331,8,65,54,10,3,0,5,1,5,5,16,23,8,2,3,327,2,318,1,1,7
031367,1318,2,36,50,7,3,1,2,1,2,2,16,17,4,1,0,346,0,248,1,2,8
031368,638,1,17,28,1,1,0,0,0,2,2,3,11,2,5,0,155,0,96,0,1,3
031369,1652,1,37,54,4,1,1,6,0,2,2,11,4,6,1,0,486,1,244,1,2,6
031370,6560,21,283,133,40,38,4,32,0,11,9,114,98,14,7,4,1256,2,1187,4,6,24
031401,4842,7,311,69,14,24,2,12,1,8,6,61,93,26,9,1,597,2,1279,8,2,38
031404,1633,1,126,38,6,3,4,5,3,1,3,28,45,7,4,1,247,1,457,4,1,17
031406,2066,3,128,33,2,3,1,7,1,1,1,38,42,7,3,3,308,1,606,1,0,6
031408,9873,34,698,129,24,57,6,38,4,12,17,168,209,36,5,9,1481,4,2713,5,4,60
031409,2854,8,161,79,10,38,8,6,2,3,3,35,71,9,3,3,374,3,748,3,1,14
040102,1982,0,54,59,16,3,,3,,,3,14,22,4,1,3,407,3,501,0,5,8
040103,216,0,0,5,0,0,,0,,,0,0,0,0,0,0,32,0,54,0,0,1
040111,523,0,10,14,0,2,,2,,,0,1,2,1,0,0,127,0,113,0,2,0
040118,282,0,7,9,0,0,,0,,,0,1,0,0,1,0,59,1,43,0,0,0
040119,276,0,3,4,3,0,,1,,,0,3,2,0,1,0,71,0,65,0,0,1
040120,242,0,10,3,0,0,,0,,,0,0,0,0,0,0,53,0,38,0,0,0
040121,342,1,5,5,1,0,,0,,,0,1,4,3,0,1,63,0,78,0,0,1
040122,396,1,9,4,0,1,,0,,,2,1,4,3,0,0,76,0,89,0,1,5
040123,273,0,5,4,1,0,,0,,,0,1,2,1,0,0,57,0,80,0,1,2
040124,387,1,15,15,0,0,,0,,,0,2,2,2,0,0,58,0,86,0,0,0
040125,241,0,16,5,1,0,,0,,,0,0,1,0,0,2,47,0,58,0,0,0
040126,205,0,3,8,0,0,,1,,,0,1,2,0,0,0,41,0,55,1,0,0
040201,192,0,2,2,0,0,,0,,,0,1,2,1,0,1,60,0,39,0,0,0
040203,316,0,3,2,0,0,,2,,,0,0,1,1,0,0,60,1,32,0,0,0
040204,531,4,21,8,3,1,,0,,,0,4,3,1,2,1,128,0,64,0,0,1
040206,250,0,13,5,1,0,,0,,,1,0,1,0,0,0,43,0,32,0,0,0
040209,347,0,11,3,0,1,,3,,,0,3,4,2,0,1,89,0,37,0,1,2
040210,483,0,3,3,1,1,,0,,,0,1,1,0,1,0,105,0,47,0,0,0
040212,457,0,18,5,3,3,,2,,,0,1,3,0,1,0,107,1,71,0,0,2
040213,270,2,4,4,1,0,,0,,,0,0,0,0,0,1,68,0,62,1,0,0
040215,290,2,5,1,0,0,,0,,,0,0,6,0,0,1,54,0,45,0,0,1
040216,397,0,11,3,2,0,,0,,,0,2,0,0,0,2,67,0,80,1,0,2
040217,188,0,8,5,0,1,,0,,,1,2,2,0,0,0,30,0,26,0,2,0
040218,443,3,11,9,1,0,,0,,,2,2,8,0,0,0,73,0,77,0,1,1
040219,364,0,4,13,1,2,,0,,,0,0,4,0,0,0,41,0,70,0,0,1
040221,281,0,4,5,0,0,,0,,,0,3,2,2,1,0,49,0,35,2,2,0
040224,260,0,2,0,3,0,,0,,,0,1,0,0,0,0,31,0,24,1,1,0
040225,480,1,12,3,3,1,,0,,,0,2,3,0,0,2,93,0,87,0,1,1
040226,316,1,3,1,1,0,,1,,,0,0,0,0,0,0,65,0,45,0,0,1
040229,257,0,5,2,0,0,,0,,,0,0,4,0,0,0,30,0,40,1,0,0
040230,321,0,4,3,2,0,,0,,,0,0,2,0,1,0,66,0,22,1,0,1
040232,249,0,7,5,0,1,,0,,,0,1,4,0,0,1,37,0,62,0,0,0
040233,281,0,9,4,0,0,,0,,,0,2,2,1,0,0,40,0,36,0,0,0
040234,255,1,2,7,0,0,,0,,,0,1,9,3,0,0,51,0,24,0,0,1
040236,561,1,8,8,3,0,,0,,,1,7,5,1,0,0,97,0,64,0,1,2
040239,441,0,4,4,1,0,,1,,,2,0,2,0,2,0,71,0,45,0,0,3
040240,1077,5,41,18,8,2,,1,,,1,4,6,1,3,0,235,0,159,1,1,0
040241,358,0,10,6,0,0,,0,,,0,1,2,0,0,0,49,0,56,1,0,0
040244,362,2,9,9,4,2,,0,,,0,5,3,0,0,2,76,0,72,0,0,0
040246,205,0,4,2,0,0,,1,,,1,0,1,3,1,0,86,0,18,1,0,1
040247,330,0,1,8,1,0,,0,,,0,0,1,1,0,1,50,0,31,0,1,0
040248,303,0,12,4,1,1,,1,,,0,1,2,0,0,0,33,0,48,0,0,1
040249,163,0,3,8,1,0,,0,,,0,0,0,0,2,0,38,0,21,0,0,0
040250,412,1,7,3,0,0,,0,,,0,1,1,0,0,1,79,1,66,0,0,0
040251,269,1,4,8,3,0,,1,,,1,0,1,0,1,0,77,0,22,1,1,0
040252,1189,0,27,16,8,0,,1,,,1,2,6,0,4,0,147,1,176,3,1,0
040253,861,0,20,12,3,0,,2,,,1,2,5,1,0,0,122,0,128,1,2,0
040254,248,0,3,3,0,0,,0,,,0,2,0,0,0,0,61,0,33,0,1,0
040255,410,0,16,7,0,1,,0,,,0,0,0,2,0,3,125,0,66,0,1,0
040256,552,1,5,8,2,0,,2,,,0,0,2,0,1,0,114,0,43,0,1,0
040257,21243,130,841,338,107,84,,64,,,18,201,259,40,22,34,3432,14,3410,11,14,48
040304,1604,3,62,37,7,8,,10,,,3,17,15,2,1,4,293,1,301,1,4,1
040306,289,0,5,6,1,2,,0,,,2,2,0,0,0,0,64,0,31,0,0,2
040308,470,1,15,6,2,0,,1,,,0,1,3,1,0,2,69,0,81,1,1,0
040309,299,1,9,4,1,2,,0,,,0,0,1,3,1,0,67,0,54,0,0,0
040311,218,0,8,4,0,0,,0,,,0,2,3,0,0,2,54,0,49,1,0,0
040312,226,0,6,8,0,0,,0,,,1,3,3,2,0,0,33,0,52,0,0,0
040313,256,1,9,10,0,0,,0,,,0,2,3,1,0,0,49,0,25,0,0,0
040314,275,0,6,11,0,2,,0,,,0,2,0,0,0,0,77,0,40,0,1,3
040316,307,2,2,10,0,0,,0,,,1,3,5,2,0,0,56,0,60,0,1,4
040318,538,2,15,8,1,0,,0,,,1,3,3,2,1,0,95,0,61,1,1,2
040320,503,3,13,13,2,0,,2,,,1,1,11,1,1,0,76,0,54,1,2,1
